rank,noun_phrase,frequency,theme_id1,theme_id2
1,data,5423,,
2,information,2299,,
3,model,2264,,
4,system,2100,,
5,process,2020,,
6,big data,1929,,
7,case,1898,,
8,systems,1850,,
9,analysis,1696,,
10,approach,1678,,
11,technology,1532,,
12,order,1486,,
13,technologies,1446,,
14,open access license,1387,,
15,industry,1341,,
16,models,1281,,
17,method,1230,,
18,companies,1200,,
19,products,1173,,
20,framework,1128,,
21,instance,1106,,
22,value,1041,,
23,production,1023,,
24,work,1004,,
25,hand,1002,,
26,manufacturing,1000,,
27,services,995,,
28,customers,965,,
29,design,919,,
30,machine,911,,
31,problem,907,,
32,knowledge,896,101,
33,responsibility,878,,202
34,future,874,,
35,context,860,,
36,challenges,853,,
37,algorithm,812,,
38,users,807,,
39,result,807,,
40,performance,801,102,
41,countries,792,,
42,management,787,,201
43,project,780,,
44,applications,779,,
45,product,772,,
46,cost,760,103,203
47,people,738,,
48,fact,733,,
49,decision,731,101,
50,factors,723,,
51,business,719,,
52,use,710,,
53,environment,700,,
54,network,695,,
55,number,695,,
56,part,693,,
57,concept,692,,
58,platform,688,,
59,simulation,678,,
60,processes,672,,
61,development,670,,
62,resources,667,,
63,quality,651,,204
64,Ë‡,649,,
65,cases,637,,
66,syst,631,,
67,sensors,629,,
68,application,614,,
69,customer,590,,
70,tools,582,,
71,problems,581,,
72,architecture,572,,201
73,policy,570,,202
74,set,568,,
75,innovation,541,,
76,activities,537,,
77,costs,535,103,203
78,organization,533,,
79,techniques,531,,
80,world,528,,
81,opportunities,526,,
82,software,525,,
83,purpose,518,,
84,ability,516,,
85,organizations,516,,
86,issues,514,,
87,market,511,,
88,solutions,509,,
89,requirements,507,,
90,approaches,505,,
91,values,502,,
92,energy,498,,
93,devices,498,,
94,service,497,,
95,infrastructure,496,,206
96,user,493,,
97,implementation,490,,
98,tool,489,,
99,analytics,488,,
100,logistics,471,,
101,area,471,,
102,solution,468,,
103,supply chain,459,,
104,strategy,458,,210
105,volume,451,,205
106,maintenance,445,106,
107,practice,438,,
108,changes,436,,
109,level,428,,
110,form,428,,
111,scenario,425,,
112,risk,424,,
113,control,421,101,
114,parameters,420,,
115,consumers,418,,
116,s,418,,
117,words,418,,
118,integration,409,,201
119,change,407,,
120,step,406,,
121,operations,405,,
122,materials,405,,
123,end,405,,
124,decisions,400,101,
125,security,398,,209
126,capabilities,396,,208
127,field,396,,
128,smart cities,396,,
129,database,388,,
130,benefits,386,,
131,engineering,385,,
132,demand,384,,
133,structure,379,,201
134,contrast,377,,
135,definition,374,,
136,discussion,370,,
137,projects,370,,
138,efficiency,368,102,
139,place,365,,
140,location,363,,
141,sustainability,361,104,
142,impact,360,,
143,machines,358,,
144,components,356,,
145,networks,356,,
146,concepts,356,,
147,focus,356,,
148,evaluation,354,,
149,internet,353,,
150,tasks,348,,
151,blockchain,346,,
152,acknowledgements,345,,
153,support,345,,
154,point,344,,
155,water,343,,
156,fax,340,,
157,perspective,337,,
158,patients,334,,
159,terms,331,,
160,evidence,328,,
161,communication,325,,
162,big data analytics,325,,
163,factories,323,,
164,scenarios,322,,
165,firm,321,,
166,data analysis,320,,
167,turn,319,,
168,total,319,,
169,circular economy,317,,
170,food,315,,
171,nodes,313,,
172,social media,313,,
173,day,312,,
174,new technologies,310,,
175,period,310,,
176,stakeholders,308,,
177,factory,306,,
178,power,305,,
179,capacity,305,,206
180,strategies,304,,210
181,equipment,304,,
182,reason,302,,
183,trends,302,,
184,goal,302,,
185,material,298,,
186,features,297,,
187,uncertainty,295,,202
188,areas,294,,
189,available homepage,293,,
190,variables,291,,
191,characteristics,291,,
192,complexity,290,,205
193,flexibility,290,107,
194,computers,290,,
195,economy,289,,
196,optimization,288,102,
197,industries,288,,
198,type,287,,
199,Å¡,287,,
200,term,286,,
