theme_id,theme_name,category,frequency,count_noun_phrases,count_codes,avg_relevance
101,Increased Knowledge / Improved Decision Making,opportunity,3926,14,23,4.3333
102,Improved Performance of Operations / Machinery,opportunity,1699,4,16,4.3333
103,Operation Economics / Cost Savings,opportunity,1651,6,4,4.3333
104,Environmental Sustainability,opportunity,1415,10,0,2.6667
105,New Business Models / Services / Products,opportunity,1277,11,0,2.6667
106,Predictive Maintenance,opportunity,1014,5,2,3.3333
107,Smart Manufacturing / Flexible Operations,opportunity,980,6,0,2.3333
108,Data Sharing / Shared Industry Insight,opportunity,813,7,2,2.6667
109,Competitive Advantage,opportunity,420,3,0,3.3333
201,Data Management,challenge,2619,8,5,4.0000
202,Data Policies and Regulations,challenge,2497,9,0,3.3333
203,Costs,challenge,1731,6,7,4.3333
204,Data Quality,challenge,1362,5,1,3.6667
205,Data Complexity,challenge,1346,7,8,3.6667
206,Infrastructure,challenge,1258,7,0,2.6667
207,Data Accessibility ,challenge,1170,7,7,3.3333
208,Capabilities,challenge,1117,5,11,3.3333
209,Data Security / Data Privacy,challenge,1042,4,6,2.6667
210,Organizational Strategy / Culture,challenge,874,3,0,2.6667
211,Data Interoperability,challenge,193,1,1,3.0000
212,Scalability,challenge,123,1,0,3.0000
301,Internal Data Sharing and Knowledge Retainment,challenge,,,13,
302,Customization,challenge,,,5,
